Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;94.5471;0.652970092;-4.19272;1.304551424;0.001941044;9.07017E-06;0.216718266;133.8866186;0.000742459;46.57630426
0.0002;189.095;1.30594571;-8.3854;2.609090401;0.003882087;1.8141E-05;4.02E-01;1.52E+02;9.90E-04;6.34E+01
0.0003;283.643;1.958922018;-12.5781;3.913635602;0.005823142;2.72125E-05;8.05E-01;1.59E+02;1.42E-03;7.48E+01
0.0004;378.191;2.611898326;-16.7707;5.218149688;0.007764151;3.62847E-05;1.49E+00;1.65E+02;1.86E-03;7.77E+01
0.0005;472.74;3.264881541;-20.9632;6.522632659;0.009705218;4.53577E-05;2.11E+00;1.69E+02;2.97E-03;8.03E+01
0.0006;567.289;3.917864755;-25.1558;7.827146745;0.011646284;5.44313E-05;2.57E+00;1.71E+02;5.32E-03;8.36E+01
0.0007;661.838;4.57084797;-29.3483;9.131629716;0.013587293;6.35058E-05;3.22E+00;1.74E+02;7.18E-03;8.55E+01
0.0008;756.388;5.22383809;-33.5408;10.43611269;0.015528359;7.25806E-05;4.09E+00;1.76E+02;9.78E-03;8.73E+01
0.0009;850.939;5.876835117;-37.7332;11.74056454;0.017469426;8.16561E-05;4.95E+00;1.78E+02;1.19E-02;8.84E+01
0.001;945.49;6.529832144;-41.9256;13.0450164;0.019410435;9.07328E-05;5.94E+00;1.79E+02;1.61E-02;8.95E+01
0.0011;1040.04;7.182822265;-46.118;14.34946826;0.021351501;9.98101E-05;7.31E+00;1.80E+02;1.83E-02;8.95E+01
0.0012;1134.59;7.835812386;-50.3103;15.653889;0.023292511;0.000108887;8.95E+00;1.81E+02;2.24E-02;8.99E+01
0.0013;1229.14;8.488802507;-54.5026;16.95830974;0.025233577;0.000117966;9.54E+00;1.81E+02;2.61E-02;8.99E+01
0.0014;1323.7;9.14186169;-58.6949;18.26273048;0.027174643;0.000127045;1.05E+01;1.81E+02;2.87E-02;8.88E+01
0.0015;1418.25;9.794851811;-62.8871;19.56712011;0.029115653;0.000136125;1.18E+01;1.81E+02;2.98E-02;8.62E+01
0.0016;1512.8;10.44784193;-67.0793;20.87150974;0.031056719;0.000145206;1.31E+01;1.79E+02;;
0.0017;1607.36;11.10090112;-71.2715;22.17589936;0.032997785;0.000154287;1.36E+01;1.78E+02;;
0.0018;1701.91;11.75389124;-75.4636;23.48025788;0.034938794;0.000163369;1.39E+01;1.75E+02;;
0.0019;1796.47;12.40695042;-79.6557;24.78461639;0.036879861;0.000172452;;;;
0.002;1891.02;13.05994054;-83.8478;26.0889749;0.038820927;0.000181535;;;;
0.0021;1985.58;13.71299972;-88.0398;27.3933023;0.040761994;0.000190619;;;;
0.0022;2080.13;14.36598985;-92.2318;28.6976297;0.042703003;0.000199704;;;;
